Customers,Formulation,Delta,Status,Objective,Distance,Runtime_s
5,Time-Expanded,1,Optimal,43.0,43.0,13.53
5,Time-Expanded,5,Optimal,43.0,43.0,0.27
5,Time-Expanded,10,Optimal,43.0,43.0,0.06
5,Time-Expanded,20,Optimal,43.0,43.0,0.02
10,Time-Expanded,1,Optimal,59.0,59.0,55.37
10,Time-Expanded,5,Optimal,59.0,59.0,1.07
10,Time-Expanded,10,Optimal,86.0,86.0,0.32
10,Time-Expanded,20,Optimal,86.0,86.0,0.12
15,Time-Expanded,1,Optimal,142.0,142.0,135.59
15,Time-Expanded,5,Optimal,142.0,142.0,2.2
15,Time-Expanded,10,Optimal,172.0,172.0,0.66
15,Time-Expanded,20,Optimal,172.0,172.0,0.13
20,Time-Expanded,1,Optimal,176.0,176.0,219.6
20,Time-Expanded,5,Optimal,176.0,176.0,4.28
20,Time-Expanded,10,Optimal,224.0,224.0,1.15
20,Time-Expanded,20,Optimal,224.0,224.0,0.3
25,Time-Expanded,1,Optimal,192.0,192.0,397.58
25,Time-Expanded,5,Optimal,192.0,192.0,6.1
25,Time-Expanded,10,Optimal,250.0,250.0,1.43
25,Time-Expanded,20,Optimal,250.0,250.0,0.4
