Customers,Window_Factor,Delta,Status,Objective,Distance,Num_Vehicles,Runtime_s
5,0.5,1,Optimal,43.0,43.0,1.0,4.32
5,0.5,5,Optimal,43.0,43.0,1.0,0.13
5,0.5,10,Optimal,73.0,73.0,2.0,0.03
5,0.5,20,Optimal,73.0,73.0,2.0,0.01
5,1.0,1,Optimal,43.0,43.0,1.0,13.72
5,1.0,5,Optimal,43.0,43.0,1.0,0.33
5,1.0,10,Optimal,43.0,43.0,1.0,0.07
5,1.0,20,Optimal,43.0,43.0,1.0,0.02
5,2.0,1,Optimal,43.0,43.0,1.0,41.05
5,2.0,5,Optimal,43.0,43.0,1.0,0.71
5,2.0,10,Optimal,43.0,43.0,1.0,0.15
5,2.0,20,Optimal,43.0,43.0,1.0,0.04
10,0.5,1,Optimal,86.0,86.0,2.0,16.63
10,0.5,5,Optimal,89.0,89.0,2.0,0.35
10,0.5,10,Optimal,93.0,93.0,2.0,0.08
10,0.5,20,Optimal,95.0,95.0,2.0,0.02
10,1.0,1,Optimal,59.0,59.0,1.0,66.26
10,1.0,5,Optimal,59.0,59.0,1.0,1.01
10,1.0,10,Optimal,86.0,86.0,2.0,0.25
10,1.0,20,Optimal,86.0,86.0,2.0,0.07
10,2.0,1,Optimal,59.0,59.0,1.0,216.84
10,2.0,5,Optimal,59.0,59.0,1.0,3.03
10,2.0,10,Optimal,59.0,59.0,1.0,0.59
10,2.0,20,Optimal,59.0,59.0,1.0,0.14
15,0.5,1,Optimal,171.0,171.0,2.0,31.49
15,0.5,5,Optimal,172.0,172.0,3.0,0.61
15,0.5,10,Optimal,178.0,178.0,3.0,0.15
15,0.5,20,Optimal,178.0,178.0,3.0,0.04
15,1.0,1,Optimal,142.0,142.0,2.0,111.75
15,1.0,5,Optimal,142.0,142.0,2.0,1.64
15,1.0,10,Optimal,172.0,172.0,3.0,0.52
15,1.0,20,Optimal,172.0,172.0,3.0,0.11
15,2.0,1,Time Limit,395.0,395.0,6.0,1001.78
15,2.0,5,Optimal,142.0,142.0,2.0,7.35
15,2.0,10,Optimal,145.0,145.0,2.0,1.34
15,2.0,20,Optimal,145.0,145.0,2.0,0.3
